Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,49,5704,4181,3123,387,896,43,627,2244,0,0
C:\Users\Robert\workspace\QoowayLibrary\src,49,5704,4181,3123,387,896,43,627,2244,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data,15,4305,3113,2239,344,668,39,524,1881,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework,34,1399,1068,884,43,228,4,103,363,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject,31,1043,794,690,9,166,4,83,269,0,0
